Year,Value,Units,Series
2010,585.4,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2011,1153.0,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2012,977.6,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2013,957.1,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2014,1154.1,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2015,1287.2,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2016,1216.6,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2017,1919.5,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2018,1594.0,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2019,2305.1,"Million USD, constant prices (2018)",ODA (commitments) for biodiversity
2010,63.0,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2011,59.0,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2012,97.3,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2013,89.1,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2014,74.6,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2015,74.6,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2016,70.8,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2017,80.2,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2018,120.0,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
2019,120.6,"Million USD, constant prices (2019)",ODA (gross disbursements) to the forestry sector
